year,region,country,Life_exp,GDP
2000,Africa,Seychelles,71.8,7578.85153
2000,Africa,Libya,78,7145.628494
2000,Africa,Gabon,61,4116.46693
2000,Africa,Mauritius,71,3861.32414
2000,Africa,Botswana,47.8,3349.68823
2000,Africa,Tunisia,72.9,2213.91488
2000,Africa,Algeria,71.3,1757.17797
2000,Americas,Canada,79.1,24124.16917
2000,Americas,Barbados,73.3,11568.1111
2000,Americas,Antigua and Barbuda,73.6,9875.161736
2000,Americas,Argentina,74.1,7669.273916
2000,Americas,Uruguay,75.1,6871.897677
2000,Americas,Grenada,74,5117.589923
2000,Americas,Brazil,75,3739.11936
2000,Asia,Japan,81.1,38532.488
2000,Asia,Qatar,76.2,29986.2915
2000,Asia,Singapore,78.3,23792.677
2000,Asia,Kuwait,73.2,18389.38433
2000,Asia,Cyprus,78.1,14672.8826
2000,Asia,Bahrain,74.5,13636.34668
2000,Asia,Saudi Arabia,72.6,9126.954277
2000,Europe,Luxembourg,77.8,48735.99549
2000,Europe,Norway,78.5,38146.71539
2000,Europe,Switzerland,79.7,37813.23426
2000,Europe,Iceland,79.7,31813.37344
2000,Europe,Sweden,79.6,29283.55
2000,Europe,Ireland,76.4,26241.91883
2000,Europe,Netherlands,78.1,25921.12794
2000,Oceania,New Zealand,78.6,13641.1272
2000,Oceania,Australia,79.5,2169.921
2000,Oceania,Vanuatu,69,1469.849149
2000,Oceania,Kiribati,64.1,796.7937634
2000,Oceania,Papua New Guinea,58.9,631.9468526
2000,Oceania,Fiji,67.7,276.1338
2000,Oceania,Tonga,71.6,263.27236
2001,Africa,Seychelles,72,7663.1378
2001,Africa,Libya,71,6269.58123
2001,Africa,Gabon,59.8,3976.14887
2001,Africa,Mauritius,71.5,3792.182152
2001,Africa,Botswana,46.7,3128.97793
2001,Africa,South Africa,56,2681.781
2001,Africa,Equatorial Guinea,53.1,2283.87939
2001,Americas,Canada,79.4,23691.59472
2001,Americas,Barbados,73.4,11513.87189
2001,Americas,Antigua and Barbuda,73.8,9358.154162
2001,Americas,Trinidad and Tobago,69.1,6935.721451
2001,Americas,Uruguay,75.2,6281.37747
2001,Americas,Chile,77.3,4595.666327
2001,Americas,Costa Rica,77.5,3981.52847
2001,Asia,Japan,81.5,33846.46564
2001,Asia,Singapore,78.7,21577.7823
2001,Asia,Brunei Darussalam,74.7,16468.12886
2001,Asia,Bahrain,74.7,12868.211
2001,Asia,Saudi Arabia,72.8,8643.4944
2001,Asia,Oman,72.9,8476.61511
2001,Asia,Lebanon,73,5253.122599
2001,Europe,Luxembourg,78,48179.4285
2001,Europe,Norway,78.8,38549.58934
2001,Europe,Switzerland,82,38538.64447
2001,Europe,Iceland,80,28585.9254
2001,Europe,Ireland,77,28223.55528
2001,Europe,Sweden,79.8,26969.24457
2001,Europe,Netherlands,78.3,26584.12169
2001,Oceania,Australia,79.9,19517.84168
2001,Oceania,New Zealand,78.5,13882.85683
2001,Oceania,Tonga,71.8,1837.977391
2001,Oceania,Samoa,75,1555.47451
2001,Oceania,Vanuatu,69.1,1362.61731
2001,Oceania,Solomon Islands,66.2,944.81684
2001,Oceania,Kiribati,64.3,734.9492461
2002,Africa,Seychelles,72.1,8331.261997
2002,Africa,Mauritius,71.5,3957.51296
2002,Africa,Equatorial Guinea,53.5,2711.17114
2002,Africa,South Africa,54.9,2518.398261
2002,Africa,Tunisia,73.5,2346.5937
2002,Africa,Algeria,71.6,1774.33673
2002,Africa,Namibia,55.7,1713.47594
2002,Americas,Canada,79.5,24167.8431
2002,Americas,Barbados,73.5,11675.39395
2002,Americas,Antigua and Barbuda,74,9386.716452
2002,Americas,Grenada,79,5292.232379
2002,Americas,Chile,77.8,4463.545867
2002,Americas,Panama,75.7,4126.14671
2002,Americas,Jamaica,73,3596.496282
2002,Asia,Japan,81.8,32289.3554
2002,Asia,United Arab Emirates,74.7,31311.35936
2002,Asia,Israel,79.3,18431.15696
2002,Asia,Kuwait,73.3,17789.41981
2002,Asia,Brunei Darussalam,74.8,16846.2198
2002,Asia,Cyprus,78.4,16372.29152
2002,Asia,Saudi Arabia,72.9,8655.311531
2002,Europe,Switzerland,84,41336.72192
2002,Europe,Denmark,77,33228.69291
2002,Europe,Ireland,77.4,32539.1937
2002,Europe,Iceland,84,31996.2172
2002,Europe,Sweden,79.9,29571.7446
2002,Europe,Netherlands,78.4,28817.32321
2002,Europe,Finland,78.1,26834.2625
2002,Oceania,New Zealand,78.7,16874.31232
2002,Oceania,Fiji,67.9,2259.55796
2002,Oceania,Tonga,71.9,1842.44421
2002,Oceania,Samoa,76,1631.41727
2002,Oceania,Vanuatu,69.3,1353.934819
2002,Oceania,Kiribati,64.6,826.58554
2002,Oceania,Solomon Islands,66.5,784.9562874
2003,Africa,Seychelles,72.1,8524.961236
2003,Africa,Gabon,59.7,4892.11618
2003,Africa,Libya,71.3,4676.96753
2003,Africa,Mauritius,71.5,4623.347642
2003,Africa,Botswana,46.4,4163.6596
2003,Africa,South Africa,54,3775.68275
2003,Africa,Equatorial Guinea,53.8,3577.176197
2003,Americas,Canada,79.7,28172.14883
2003,Americas,Antigua and Barbuda,74.2,9739.82556
2003,Americas,Mexico,75,6751.998987
2003,Americas,Grenada,71.1,5773.73577
2003,Americas,Chile,77.9,4787.699532
2003,Americas,Panama,75.5,4267.13578
2003,Americas,Costa Rica,78,4167.71417
2003,Asia,Qatar,76.5,34176.98183
2003,Asia,Singapore,79.3,23573.6284
2003,Asia,Israel,79.7,18946.99942
2003,Asia,Brunei Darussalam,76,18555.56649
2003,Asia,Bahrain,75,14221.99259
2003,Asia,Saudi Arabia,73,9567.458285
2003,Asia,Lebanon,73.5,5425.6697
2003,Europe,Luxembourg,78.6,65445.8853
2003,Europe,Sweden,82,36961.42537
2003,Europe,Netherlands,78.7,35245.1647
2003,Europe,Finland,78.4,32816.1688
2003,Europe,France,79.3,29691.18158
2003,Europe,Italy,79.9,27387.2258
2003,Europe,Spain,79.4,21495.7741
2003,Oceania,Australia,83,23465.38559
2003,Oceania,New Zealand,79.1,21913.7817
2003,Oceania,Fiji,68,2835.973972
2003,Oceania,Solomon Islands,66.8,744.7657423
2003,Oceania,Papua New Guinea,59.6,588.3582595
2003,Oceania,Tonga,72,229.714718
2003,Oceania,Samoa,79,197.29417
2004,Africa,Gabon,59.7,5685.577736
2004,Africa,Mauritius,71.9,5229.876738
2004,Africa,Botswana,48.1,4896.583835
2004,Africa,South Africa,53.7,4863.51688
2004,Africa,Namibia,54.7,3288.257373
2004,Africa,Tunisia,74,3112.83529
2004,Africa,Algeria,72.3,2598.9823
2004,Americas,Canada,80,31979.87195
2004,Americas,Barbados,73.8,12868.8639
2004,Americas,Mexico,75.4,7199.59665
2004,Americas,Grenada,73,5836.17763
2004,Americas,Panama,75.8,4591.892776
2004,Americas,Costa Rica,77.7,4425.57467
2004,Americas,Argentina,74.7,4251.574348
2004,Asia,Qatar,76.6,41818.35256
2004,Asia,Japan,82.1,37688.72234
2004,Asia,United Arab Emirates,75.1,36161.1761
2004,Asia,Kuwait,73.5,26921.8278
2004,Asia,Cyprus,78.6,23932.49128
2004,Asia,Brunei Darussalam,76.4,21896.6527
2004,Asia,Israel,81,19888.172
2004,Europe,Luxembourg,78.7,75716.3518
2004,Europe,Switzerland,81,53255.97631
2004,Europe,Ireland,78.3,47631.6377
2004,Europe,Iceland,88,46917.27216
2004,Europe,Denmark,77.7,46511.6457
2004,Europe,Sweden,83,42442.2245
2004,Europe,Netherlands,79.2,39954.64222
2004,Oceania,Australia,86,3472.37977
2004,Oceania,Fiji,68.1,3332.918533
2004,Oceania,New Zealand,79.2,2542.39935
2004,Oceania,Samoa,71.4,2351.33814
2004,Oceania,Tonga,72.2,2284.37858
2004,Oceania,Vanuatu,69.6,1787.94723
2004,Oceania,Solomon Islands,67.1,818.442619
2005,Africa,Libya,71.9,8171.361651
2005,Africa,Gabon,65,6741.293948
2005,Africa,South Africa,53.8,5414.634326
2005,Africa,Botswana,51.7,5351.253732
2005,Africa,Mauritius,72.1,5116.45424
2005,Africa,Namibia,55.1,3573.146387
2005,Africa,Tunisia,74.2,3194.562243
2005,Americas,Canada,81,36189.58838
2005,Americas,Barbados,73.9,14223.86576
2005,Americas,Trinidad and Tobago,69.5,12323.1275
2005,Americas,Antigua and Barbuda,74.6,11371.93895
2005,Americas,Mexico,75.3,7986.798439
2005,Americas,Chile,78.4,7615.3468
2005,Americas,Grenada,71.5,6754.512393
2005,Asia,Qatar,76.6,51488.49529
2005,Asia,United Arab Emirates,75.3,39439.8197
2005,Asia,Japan,82,37217.64873
2005,Asia,Singapore,82,29869.85398
2005,Asia,Cyprus,78.7,25324.48666
2005,Asia,Bahrain,75.3,17959.17854
2005,Asia,Saudi Arabia,73.1,13739.82945
2005,Europe,Norway,81,66775.3944
2005,Europe,Iceland,81,56249.7555
2005,Europe,Switzerland,81.1,54797.54663
2005,Europe,Denmark,78.1,48799.8237
2005,Europe,Netherlands,79.4,41577.169
2005,Europe,Finland,78.9,38969.17163
2005,Europe,Austria,79.4,38242.4252
2005,Oceania,Fiji,68.3,3658.63832
2005,Oceania,Australia,81,3416.71483
2005,Oceania,New Zealand,79.9,2775.89515
2005,Oceania,Tonga,72.3,2594.74999
2005,Oceania,Samoa,71.6,2571.262348
2005,Oceania,Vanuatu,69.9,1886.433359
2005,Oceania,Kiribati,64.9,1214.556667
2006,Africa,Equatorial Guinea,54.8,12732.2759
2006,Africa,Libya,72.2,9344.987518
2006,Africa,Mauritius,71.8,5695.969327
2006,Africa,South Africa,54,5631.73485
2006,Africa,Botswana,54.8,5374.554867
2006,Africa,Namibia,57,3881.29535
2006,Africa,Algeria,73.4,3464.6179
2006,Americas,Barbados,74.1,15646.5591
2006,Americas,Antigua and Barbuda,74.8,12724.39377
2006,Americas,Chile,78.9,9484.681227
2006,Americas,Mexico,75.8,8767.92258
2006,Americas,Grenada,71.7,6764.722867
2006,Americas,Argentina,75.2,5878.76127
2006,Americas,Uruguay,76.2,5877.87678
2006,Asia,Kuwait,73.6,42717.55725
2006,Asia,United Arab Emirates,75.4,42372.22166
2006,Asia,Japan,82.4,35433.98896
2006,Asia,Singapore,87,33579.85948
2006,Asia,Cyprus,78.8,27169.99256
2006,Asia,Saudi Arabia,73.2,15334.66994
2006,Asia,Qatar,76.6,6256.55926
2006,Europe,Luxembourg,79.4,89739.7117
2006,Europe,Norway,84,74114.69715
2006,Europe,Switzerland,81.5,57348.92788
2006,Europe,Ireland,79,54326.9713
2006,Europe,Sweden,88,46256.4716
2006,Europe,Netherlands,79.8,44453.97119
2006,Europe,Belgium,79.4,38852.3613
2006,Oceania,Australia,81.2,36118.28381
2006,Oceania,Fiji,68.5,3749.939813
2006,Oceania,Tonga,72.4,2892.522663
